Rank,FirstName,LastName,Flight,LastEval,PromoRecomm,LastACA,DOE,TIG,DOR,TIS,SkillLevel,Fitness,PME_ALS,PME_NCOA,PME_SNCOA,PME_EJPME1,PME_EJPME2,PME_SNCOE,PME_EDO,PME_CMSOC,PME_CLC,PME_DSCA1,PME_DSCA2,EDU_ASSOCIATES,EDU_BACHELORS,EDU_MASTERS,EDU_DOCTORATE,Assignments,AssignmentsDate,AwardsDecs,AwardsDecsDate,ProfOrgMbr,LeadershipRoles,SupervisorNotes,RateeNotes,LastEdit
TSgt,Noel,Adams,Charlie,5/10/25,Promote,4/20/25,9/14/18,3y 1m,2/10/23,7y 6m,7,Satisfactory,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,TDY/Exercise; Deployment; ADOS,TDY/Exercise: 02/08/2026; Deployment: 03/03/2019,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 12/31/2021; Wing/Group/Squadron Airman of the Quarter or Year: 12/23/2025,Rising 6,Supervisor 4 years; Flight Chief 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 21:10
TSgt,Robin,Nelson,Delta,2/21/26,Promote,12/30/25,12/8/17,1y 8m,7/21/24,8y 3m,7,Satisfactory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Deployment; Mobilization,Deployment: 07/22/2024; Mobilization: 12/11/2024,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 05/30/2019; Wing/Group/Squadron Airman of the Quarter or Year: 04/16/2025,CAL EANGUS,Supervisor 6 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
TSgt,Sawyer,Carter,Alpha,7/31/25,Promote,11/2/25,5/26/15,1y 8m,7/21/24,10y 10m,7,Satisfactory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,TDY/Exercise; WIT Team,TDY/Exercise: 02/21/2023,NGB/MAJCOM Level Individual Award; Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 11/11/2022; Wing/Group/Squadron Airman of the Quarter or Year: 01/07/2023,Rising 6,Supervisor 3 years; Program Manager 1 years; Flight Chief 3 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
TSgt,Shiloh,Mitchell,Bravo,5/6/25,Promote,9/27/25,7/22/14,2y 2m,1/21/24,11y 8m,7,Satisfactory,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,TDY/Exercise; Deployment; ADOS,TDY/Exercise: 02/10/2026; Deployment: 10/28/2025,Federal/State Decoration,Federal/State Decoration: 03/07/2024,Other,Supervisor 6 years; Flight Chief 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
TSgt,Teagan,Roberts,Charlie,8/29/25,Promote,2/5/26,1/29/15,0y 8m,7/16/25,11y 2m,7,Satisfactory,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,TDY/Exercise; Wing Staff,TDY/Exercise: 07/03/2020,Wing/Group/Squadron Airman of the Quarter or Year,Wing/Group/Squadron Airman of the Quarter or Year: 07/26/2023,Rising 6,Supervisor 3 years; Program Manager 3 years; Flight Chief 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
TSgt,Wren,Turner,Delta,1/27/26,Promote,11/28/25,2/16/16,1y 3m,12/12/24,10y 1m,7,Satisfactory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Stat Tour; ADOS; Group Staff,,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 10/21/2023; Wing/Group/Squadron Airman of the Quarter or Year: 08/20/2023,Booster Club,Supervisor 3 years; Program Manager 3 years; Flight Chief 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
TSgt,Briar,Phillips,Alpha,3/7/26,Promote,5/11/25,3/28/16,2y 0m,3/6/24,10y 0m,7,Satisfactory,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,TDY/Exercise; Deployment; WIT Team; Group Staff; Wing Staff,TDY/Exercise: 03/14/2026; Deployment: 07/01/2025,Federal/State Decoration,Federal/State Decoration: 03/14/2026,Booster Club; CAL EANGUS,Supervisor 4 years; Program Manager 1 years; Flight Chief 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/15/26 21:52
TSgt,Ari,Campbell,Bravo,9/5/25,Promote,4/30/25,4/19/17,0y 11m,5/2/25,8y 11m,7,Satisfactory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,TDY/Exercise; ADOS; WIT Team,TDY/Exercise: 06/16/2025,Federal/State Decoration,Federal/State Decoration: 07/11/2023,,Supervisor 3 years; Flight Chief 3 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
MSgt,Lennon,Parker,Charlie,1/8/26,Promote,5/18/25,6/29/09,1y 5m,10/28/24,16y 9m,7,Satisfactory,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,TDY/Exercise; Deployment; Stat Tour,TDY/Exercise: 11/30/2021; Deployment: 11/28/2019,NGB/MAJCOM Level Individual Award; Federal/State Decoration,Federal/State Decoration: 03/01/2024,Top 3,Supervisor 7 years; Program Manager 3 years; Flight Chief 1 years; Senior Enlisted Leader 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
MSgt,Marley,Evans,Delta,5/24/25,Promote,1/4/26,3/24/11,1y 6m,9/16/24,15y 0m,7,Satisfactory,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Deployment; Mobilization; Stat Tour,Deployment: 02/01/2025; Mobilization: 10/08/2025,Wing/Group/Squadron Airman of the Quarter or Year,Wing/Group/Squadron Airman of the Quarter or Year: 10/15/2023,,Supervisor 5 years; Program Manager 2 years; Flight Chief 4 years; Senior Enlisted Leader 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
MSgt,Alden,Edwards,Alpha,12/11/25,Promote,4/27/25,11/7/11,2y 6m,9/15/23,14y 4m,7,Satisfactory,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,TDY/Exercise; Deployment; Mobilization; Stat Tour,TDY/Exercise: 12/03/2024; Deployment: 03/14/2026; Mobilization: 11/21/2025,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 03/15/2026; Wing/Group/Squadron Airman of the Quarter or Year: 10/24/2025,Booster Club; Top 3,Supervisor 7 years; Program Manager 2 years; Flight Chief 4 years; Senior Enlisted Leader 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/15/26 4:22
MSgt,Justice,Collins,Bravo,10/6/25,Promote,11/18/25,10/29/07,1y 5m,10/25/24,18y 5m,7,Satisfactory,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,TDY/Exercise; Deployment; Stat Tour,TDY/Exercise: 07/06/2024; Deployment: 08/11/2025,Wing/Group/Squadron Airman of the Quarter or Year,Wing/Group/Squadron Airman of the Quarter or Year: 08/18/2024,,Supervisor 7 years; Program Manager 2 years; Flight Chief 3 years; Senior Enlisted Leader 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
MSgt,Remy,Stewart,Charlie,12/7/25,Promote,12/23/25,3/19/12,2y 5m,10/14/23,14y 0m,7,Satisfactory,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Mobilization; ADOS; Joint Tour,Mobilization: 01/06/2026,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 01/12/2026; Wing/Group/Squadron Airman of the Quarter or Year: 05/04/2024,Top 3,Supervisor 4 years; Program Manager 2 years; Flight Chief 3 years; Senior Enlisted Leader 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
MSgt,Sloane,Morris,Delta,3/28/25,Promote,8/28/25,7/10/12,3y 9m,6/28/22,13y 8m,7,Satisfactory,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,TDY/Exercise; Stat Tour,TDY/Exercise: 03/14/2026,NGB/MAJCOM Level Individual Award,,Booster Club; Top 3,Supervisor 6 years; Program Manager 3 years; Flight Chief 3 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 23:17
MSgt,Tory,Rogers,Alpha,5/9/25,Promote,2/2/26,11/13/10,3y 8m,7/17/22,15y 4m,7,Satisfactory,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,,,,,Booster Club; Other,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 23:25
MSgt,Zion,Reed,Bravo,2/18/26,Promote,1/20/26,7/10/08,2y 2m,1/12/24,17y 8m,7,Satisfactory,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Deployment; Mobilization; ADOS; WIT Team; Group Staff; Wing Staff; Joint Tour,Deployment: 07/04/2024; Mobilization: 08/31/2022,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 11/22/2025; Wing/Group/Squadron Airman of the Quarter or Year: 02/28/2025,,Supervisor 7 years; Program Manager 3 years; Flight Chief 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SMSgt,Ash,Cook,Charlie,2/23/26,Promote,6/25/25,10/1/10,4y 6m,9/29/21,15y 6m,9,Satisfactory,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,TDY/Exercise; Deployment,TDY/Exercise: 01/10/2025; Deployment: 05/17/2025,Federal/State Decoration,Federal/State Decoration: 11/09/2023,,Supervisor 7 years; Program Manager 2 years; Flight Chief 2 years; Senior Enlisted Leader 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SMSgt,Bellamy,Morgan,Delta,11/12/25,Promote,3/19/25,7/1/10,3y 6m,9/18/22,15y 9m,9,Satisfactory,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Mobilization; ADOS,Mobilization: 09/21/2021,Federal/State Decoration,Federal/State Decoration: 08/04/2025,Top 3,Supervisor 8 years; Program Manager 3 years; Flight Chief 3 years; Senior Enlisted Leader 4 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SMSgt,Cory,Bell,Alpha,11/3/25,Promote,8/11/25,3/31/08,1y 10m,5/7/24,18y 0m,9,Satisfactory,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,TDY/Exercise; Stat Tour,TDY/Exercise: 04/13/2025,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 11/02/2018; Wing/Group/Squadron Airman of the Quarter or Year: 04/24/2026,Top 3,Supervisor 5 years; Program Manager 2 years; Flight Chief 4 years; Senior Enlisted Leader 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/15/26 2:57
SMSgt,Indy,Murphy,Bravo,10/15/25,Promote,6/21/25,9/20/03,1y 0m,3/16/25,22y 6m,7,Satisfactory,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,TDY/Exercise; Deployment; Mobilization,TDY/Exercise: 12/27/2024; Deployment: 01/25/2021; Mobilization: 02/17/2025,Federal/State Decoration,Federal/State Decoration: 06/30/2018,Booster Club; Top 3,Supervisor 5 years; Program Manager 3 years; Flight Chief 2 years; Senior Enlisted Leader 3 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
